會計科目,1308 亞聚 (上市塑膠工業)
　　　現金及約當現金,2112375
　　　透過損益按公允價值衡量之金融資產－流動,1440940
　　　備供出售金融資產－流動淨額,85936
　　　應收票據淨額,1627
　　　應收帳款淨額,489782
　　　應收帳款－關係人淨額,112935
　　　其他應收款淨額,1583
　　　其他應收款－關係人淨額,6529
　　　存貨,761705
　　　預付款項,122914
　　　其他流動資產,110
　　流動資產合計,5136436
　　　備供出售金融資產－非流動淨額,2436185
　　　以成本衡量之金融資產－非流動淨額,248801
　　　採用權益法之投資淨額,2848526
　　　不動產、廠房及設備,3630950
　　　投資性不動產淨額,516026
　　　無形資產,318
　　    遞延所得稅資產,56574
　　　其他非流動資產,2185
　　非流動資產合計,9739565
　資產總額,14876001
　　　短期借款,500000
　　　應付短期票券,699834
　　　透過損益按公允價值衡量之金融負債－流動,666
　　　應付帳款,109809
　　　應付帳款－關係人,67724
　　　其他應付款,151492
　　    其他應付款項－關係人,302533
　　    本期所得稅負債,41078
　　　負債準備－流動,5899
　　　其他流動負債,459528
　　流動負債合計,2338563
　　　長期借款,2450000
　　　遞延所得稅負債,39968
　　　其他非流動負債,231000
　　非流動負債合計,2720968
　負債總額,5059531
　　　　普通股股本,5181147
　　　股本合計,5181147
　　　資本公積合計,16434
　　　　法定盈餘公積,1627934
　　　　特別盈餘公積,565379
　　　　未分配盈餘（或待彌補虧損）,2061039
　　　保留盈餘合計,4254352
　　　其他權益合計,364537
　　　庫藏股票,0
　　歸屬於母公司業主之權益合計,9816470
　　共同控制下前手權益,0
　權益總額,9816470
　負債及權益總計,14876001
　待註銷股本股數（單位：股）,0
　預收股款（權益項下）之約當發行股數（單位：股）,0
　母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0
