會計科目,1308 亞聚 (上市塑膠工業)
　銷貨收入淨額,5893335
營業收入合計,5893335
　銷貨成本,5113476
營業成本合計,5113476
營業毛利（毛損）,779859
營業毛利（毛損）淨額,779859
　　推銷費用,97665
　　管理費用,107942
　　研究發展費用,6583
　營業費用合計,212190
營業利益（損失）,567669
　　其他收入,175988
　　其他利益及損失淨額,-26511
　　財務成本淨額,21895
　　採用權益法認列之關聯企業及合資損益之份額淨額,97677
　營業外收入及支出合計,225259
稅前淨利（淨損）,792928
所得稅費用（利益）合計,121989
繼續營業單位本期淨利（淨損）,670939
本期淨利（淨損）,670939
　　確定福利計畫之再衡量數,-24962
　　採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,-8083
　　與不重分類之項目相關之所得稅,-4239
　　國外營運機構財務報表換算之兌換差額,-36266
　　備供出售金融資產未實現評價損益,489493
　　採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-6303
　　與可能重分類之項目相關之所得稅,-4891
　其他綜合損益（淨額）,423009
本期綜合損益總額,1093948
　母公司業主（淨利╱損）,665825
　共同控制下前手權益（淨利╱損）,5114
　母公司業主（綜合損益）,1097395
　共同控制下前手權益（綜合損益）,-3447
　　繼續營業單位淨利（淨損）,1.32
　基本每股盈餘,1.32
　　繼續營業單位淨利（淨損）,1.32
　稀釋每股盈餘,1.32
