會計科目,1308 亞聚 (上市塑膠工業)
　銷貨收入淨額,6404467
營業收入合計,6404467
　銷貨成本,5707391
營業成本合計,5707391
營業毛利（毛損）,697076
營業毛利（毛損）淨額,697076
　　推銷費用,107656
　　管理費用,112304
　　研究發展費用,6226
　營業費用合計,226186
營業利益（損失）,470890
　　其他收入,175766
　　其他利益及損失淨額,-52508
　　財務成本淨額,41762
　　採用權益法認列之關聯企業及合資損益之份額淨額,103367
　營業外收入及支出合計,184863
稅前淨利（淨損）,655753
所得稅費用（利益）合計,90399
繼續營業單位本期淨利（淨損）,565354
本期淨利（淨損）,565354
　　確定福利計畫之再衡量數,-12181
　　採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,-1189
　　與不重分類之項目相關之所得稅,-2067
　　國外營運機構財務報表換算之兌換差額,-44287
　　備供出售金融資產未實現評價損益,104324
　　採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-1779
　　與可能重分類之項目相關之所得稅,-6382
　其他綜合損益（淨額）,53337
本期綜合損益總額,618691
　母公司業主（淨利╱損）,565354
　共同控制下前手權益（淨利╱損）,0
　母公司業主（綜合損益）,618691
　共同控制下前手權益（綜合損益）,0
　基本每股盈餘,1.09
　稀釋每股盈餘,1.09
