會計科目,1308 亞聚 (上市塑膠工業)
　繼續營業單位稅前淨利（淨損）,316863
　本期稅前淨利（淨損）,316863
　　　折舊費用,292070
　　　攤銷費用,336
　　　透過損益按公允價值衡量金融資產及負債之淨損失（利益）,3682
　　　利息費用,40142
　　　利息收入,-18489
　　　股利收入,-98787
　　　採用權益法認列之關聯企業及合資損失（利益）之份額,-95134
　　　處分及報廢不動產、廠房及設備損失（利益）,0
　　　處分投資性不動產損失（利益）,0
　　　處分投資損失（利益）,0
　　　金融資產減損損失,0
　　　非金融資產減損損失,-6118
　　　未實現外幣兌換損失（利益）,-2804
　　　收益費損項目合計,114898
　　　　持有供交易之金融資產（增加）減少,-666
　　　　強制透過損益按公允價值衡量之金融資產（增加）減少,-173379
　　　　應收票據（增加）減少,1162
　　　　應收帳款（增加）減少,-220920
　　　　應收帳款－關係人（增加）減少,-53369
　　　　其他應收款（增加）減少,6
　　　　其他應收款－關係人（增加）減少,4059
　　　　存貨（增加）減少,-11455
　　　　預付款項（增加）減少,-6068
　　　　與營業活動相關之資產之淨變動合計,-460630
　　　　應付帳款增加（減少）,148485
　　　　應付帳款－關係人增加（減少）,15589
　　　　其他應付款增加（減少）,-10446
　　　　其他應付款－關係人增加（減少）,-172751
　　　　其他流動負債增加（減少）,16140
　　　　淨確定福利負債增加(減少),-3874
　　　　與營業活動相關之負債之淨變動合計,-6857
　　　與營業活動相關之資產及負債之淨變動合計,-467487
　　調整項目合計,-352589
　營運產生之現金流入（流出）,-35726
　收取之利息,18680
　支付之利息,-39235
　退還（支付）之所得稅,-52160
營業活動之淨現金流入（流出）,-108441
　取得透過其他綜合損益按公允價值衡量之金融資產,-3926
　處分透過其他綜合損益按公允價值衡量之金融資產,5883
　透過其他綜合損益按公允價值衡量之金融資產減資退回股款,21077
　處分備供出售金融資產,0
　以成本衡量之金融資產減資退回股款,0
　取得採用權益法之投資,-1747780
　取得不動產、廠房及設備,-159030
　處分不動產、廠房及設備,0
　存出保證金增加,-3
　取得無形資產,-106
　收取之股利,161911
　其他投資活動,-1690
　投資活動之淨現金流入（流出）,-1723664
　短期借款增加,850000
　應付短期票券減少,-100000
　舉借長期借款,9650000
　償還長期借款,-9450000
　其他非流動負債增加,5662
　發放現金股利,-103594
　籌資活動之淨現金流入（流出）,852068
匯率變動對現金及約當現金之影響,1865
本期現金及約當現金增加（減少）數,-978172
期初現金及約當現金餘額,2112375
期末現金及約當現金餘額,1134203
　資產負債表帳列之現金及約當現金,1134203
