會計科目,1308 亞聚 (上市塑膠工業)
　繼續營業單位稅前淨利（淨損）,655753
　本期稅前淨利（淨損）,655753
　　　折舊費用,289808
　　　攤銷費用,954
　　　透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-605
　　　利息費用,41762
　　　利息收入,-16426
　　　股利收入,-96329
　　　採用權益法認列之關聯企業及合資損失（利益）之份額,-103367
　　　處分及報廢不動產、廠房及設備損失（利益）,-186
　　　處分投資性不動產損失（利益）,497
　　　處分投資損失（利益）,-7739
　　　金融資產減損損失,7906
　　　非金融資產減損損失,10330
　　　非金融資產減損迴轉利益,0
　　　未實現外幣兌換損失（利益）,1053
　　　收益費損項目合計,127658
　　　　持有供交易之金融資產（增加）減少,107061
　　　　應收票據（增加）減少,160
　　　　應收帳款（增加）減少,235565
　　　　應收帳款－關係人（增加）減少,77119
　　　　其他應收款（增加）減少,1327
　　　　其他應收款－關係人（增加）減少,52541
　　　　存貨（增加）減少,-98393
　　　　預付款項（增加）減少,40179
　　　　與營業活動相關之資產之淨變動合計,415559
　　　　應付帳款增加（減少）,-132850
　　　　應付帳款－關係人增加（減少）,-3897
　　　　其他應付款增加（減少）,-118191
　　　　其他應付款－關係人增加（減少）,185758
　　　　其他流動負債增加（減少）,-6105
　　　　淨確定福利負債增加(減少),-39080
　　　　與營業活動相關之負債之淨變動合計,-114365
　　　與營業活動相關之資產及負債之淨變動合計,301194
　　調整項目合計,428852
　營運產生之現金流入（流出）,1084605
　收取之利息,15921
　支付之利息,-41517
　退還（支付）之所得稅,-95325
營業活動之淨現金流入（流出）,963684
　取得備供出售金融資產,0
　處分備供出售金融資產,21634
　以成本衡量之金融資產減資退回股款,20994
　取得採用權益法之投資,-1437647
　對子公司之收購（扣除所取得之現金）,0
　採用權益法之被投資公司減資退回股款,0
　取得不動產、廠房及設備,-122371
　處分不動產、廠房及設備,210
　存出保證金增加,60
　收取之股利,164188
　投資活動之淨現金流入（流出）,-1352932
　短期借款增加,-450000
　應付短期票券增加,0
　舉借長期借款,7150000
　償還長期借款,-6700000
　其他非流動負債增加,1138
　其他非流動負債減少,0
　發放現金股利,-301765
　非控制權益變動,0
　籌資活動之淨現金流入（流出）,-300627
匯率變動對現金及約當現金之影響,-10749
本期現金及約當現金增加（減少）數,-700624
期初現金及約當現金餘額,2812999
期末現金及約當現金餘額,2112375
　資產負債表帳列之現金及約當現金,2112375
