會計科目,1308 亞聚 (上市塑膠工業)
　繼續營業單位稅前淨利（淨損）,3738206
　本期稅前淨利（淨損）,3738206
　　　折舊費用,312426
　　　攤銷費用,18
　　　透過損益按公允價值衡量金融資產及負債之淨損失（利益）,3385
　　　利息費用,22743
　　　利息收入,-4381
　　　股利收入,-204242
　　　採用權益法認列之關聯企業及合資損失（利益）之份額,-63971
　　　處分採用權益法之投資損失（利益）,0
　　　非金融資產減損損失,757
　　　未實現外幣兌換損失（利益）,4640
　　　收益費損項目合計,71375
　　　　強制透過損益按公允價值衡量之金融資產（增加）減少,-39300
　　　　應收帳款（增加）減少,-444791
　　　　應收帳款－關係人（增加）減少,-231036
　　　　其他應收款（增加）減少,-13369
　　　　其他應收款－關係人（增加）減少,196
　　　　存貨減少(增加)之調整數,-272719
　　　　預付款項（增加）減少,-23972
　　　　其他流動資產（增加）減少,0
　　　　與營業活動相關之資產之淨變動合計,-1024991
　　　　應付帳款增加（減少）,-20153
　　　　應付帳款－關係人增加（減少）,30700
　　　　其他應付款增加（減少）,38300
　　　　其他應付款－關係人增加（減少）,156577
　　　　其他流動負債增加（減少）,-14000
　　　　淨確定福利負債增加(減少),-21486
　　　　與營業活動相關之負債之淨變動合計,169938
　　　與營業活動相關之資產及負債之淨變動合計,-855053
　　調整項目合計,-783678
　營運產生之現金流入（流出）,2954528
　收取之利息,4486
　支付之利息,-23927
　退還（支付）之所得稅,-188553
營業活動之淨現金流入（流出）,2746534
　處分透過其他綜合損益按公允價值衡量之金融資產,100201
　透過其他綜合損益按公允價值衡量之金融資產減資退回股款,20897
　取得按攤銷後成本衡量之金融資產,0
　取得透過損益按公允價值衡量之金融資產,-1234
　取得採用權益法之投資,-22500
　採用權益法之被投資公司減資退回股款,0
　取得不動產、廠房及設備,-403612
　存出保證金增加,0
　收取之股利,294432
　其他投資活動,6655
　投資活動之淨現金流入（流出）,-5161
　短期借款增加,-200000
　應付短期票券減少,0
　舉借長期借款,9475000
　償還長期借款,-11150000
　存入保證金減少,1109
　租賃本金償還,-6263
　其他非流動負債增加,-503
　發放現金股利,-698597
　籌資活動之淨現金流入（流出）,-2579254
匯率變動對現金及約當現金之影響,-3827
本期現金及約當現金增加（減少）數,158292
期初現金及約當現金餘額,605644
期末現金及約當現金餘額,763936
　資產負債表帳列之現金及約當現金,763936
