會計科目,1308 亞聚 (上市塑膠工業)
　繼續營業單位稅前淨利（淨損）,1285411
　本期稅前淨利（淨損）,1285411
　　　折舊費用,314601
　　　攤銷費用,35
　　　透過損益按公允價值衡量金融資產及負債之淨損失（利益）,-25388
　　　利息費用,42537
　　　利息收入,-7682
　　　股利收入,-104544
　　　採用權益法認列之關聯企業及合資損失（利益）之份額,-125438
　　　處分及報廢不動產、廠房及設備損失（利益）,0
　　　處分採用權益法之投資損失（利益）,527
　　　非金融資產減損損失,-408
　　　未實現外幣兌換損失（利益）,-2813
　　　收益費損項目合計,91427
　　　　強制透過損益按公允價值衡量之金融資產（增加）減少,1589827
　　　　應收票據（增加）減少,0
　　　　應收帳款（增加）減少,48844
　　　　應收帳款－關係人（增加）減少,-40524
　　　　其他應收款（增加）減少,-2387
　　　　其他應收款－關係人（增加）減少,1990
　　　　存貨減少(增加)之調整數,74954
　　　　預付款項（增加）減少,17035
　　　　其他流動資產（增加）減少,-797
　　　　與營業活動相關之資產之淨變動合計,1688942
　　　　持有供交易之金融負債增加（減少）,0
　　　　應付帳款增加（減少）,104151
　　　　應付帳款－關係人增加（減少）,-3109
　　　　其他應付款增加（減少）,13092
　　　　其他應付款－關係人增加（減少）,-116748
　　　　其他流動負債增加（減少）,12519
　　　　淨確定福利負債增加(減少),-11420
　　　　與營業活動相關之負債之淨變動合計,-1515
　　　與營業活動相關之資產及負債之淨變動合計,1687427
　　調整項目合計,1778854
　營運產生之現金流入（流出）,3064265
　收取之利息,7459
　支付之利息,-43096
　退還（支付）之所得稅,-150282
營業活動之淨現金流入（流出）,2878346
　處分透過其他綜合損益按公允價值衡量之金融資產,12277
　透過其他綜合損益按公允價值衡量之金融資產減資退回股款,34135
　取得按攤銷後成本衡量之金融資產,-42648
　取得採用權益法之投資,-783964
　採用權益法之被投資公司減資退回股款,3876
　取得不動產、廠房及設備,-284827
　處分不動產、廠房及設備,0
　存出保證金增加,-1
　收取之股利,131573
　其他投資活動,13314
　投資活動之淨現金流入（流出）,-916265
　短期借款增加,-400000
　應付短期票券減少,-650000
　舉借長期借款,5400000
　償還長期借款,-6300000
　存入保證金減少,3200
　租賃本金償還,-5917
　其他非流動負債增加,-3819
　發放現金股利,-332685
　籌資活動之淨現金流入（流出）,-2289221
匯率變動對現金及約當現金之影響,-5832
本期現金及約當現金增加（減少）數,-332972
期初現金及約當現金餘額,938616
期末現金及約當現金餘額,605644
　資產負債表帳列之現金及約當現金,605644
