會計科目,1308 亞聚 (上市塑膠工業)
　銷貨收入淨額,5703546
營業收入合計,5703546
　銷貨成本,4574394
營業成本合計,4574394
營業毛利（毛損）,1129152
營業毛利（毛損）淨額,1129152
　　推銷費用,89753
　　管理費用,111673
　　研究發展費用,5423
　營業費用合計,206849
營業利益（損失）,922303
　　利息收入,7682
　　其他收入,167155
　　其他利益及損失淨額,105370
　　財務成本淨額,42537
　　採用權益法認列之關聯企業及合資損益之份額淨額,125438
　營業外收入及支出合計,363108
稅前淨利（淨損）,1285411
所得稅費用（利益）合計,181824
繼續營業單位本期淨利（淨損）,1103587
本期淨利（淨損）,1103587
　　　確定福利計畫之再衡量數,-608
　　　透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,1032335
　　　採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,43970
　　　與不重分類之項目相關之所得稅,3332
　不重分類至損益之項目：,1072365
　　　國外營運機構財務報表換算之兌換差額,41058
　　　採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-5315
　　　與可能重分類之項目相關之所得稅,8212
　後續可能重分類至損益之項目：,27531
　其他綜合損益（淨額）,1099896
本期綜合損益總額,2203483
　母公司業主（淨利∕損）,1103587
　母公司業主（綜合損益）,2203483
　基本每股盈餘,1.9
　稀釋每股盈餘,1.89
